Date,Max Data,std
2012-12-01,41.0900,2.5281
2013-01-01,42.5400,4.8008
2013-02-01,51.4600,3.1628
2013-03-01,53.0000,7.2128
2013-04-01,55.4600,4.5034
2013-05-01,55.0500,6.1305
2013-06-01,55.6900,8.1495
2013-07-01,58.3800,5.8859
2013-08-01,55.7800,8.0384
2013-09-01,45.2300,12.5758
2013-10-01,45.7400,10.8519
2013-11-01,41.5100,8.8448
2013-12-01,38.2200,5.2068
2014-01-01,40.0000,4.4297
2014-02-01,45.1800,3.3274
2014-03-01,58.2300,8.9076
2014-04-01,58.2700,6.8561
2014-05-01,57.6800,10.2643
2014-06-01,59.3000,6.8197
2014-07-01,63.1100,7.2648
2014-08-01,64.7100,6.2606
2014-09-01,58.9000,7.5114
2014-10-01,56.4000,8.6068
2014-11-01,50.9200,4.4657
2014-12-01,47.1600,6.7021
2015-01-01,49.1400,6.6369
2015-02-01,55.5400,8.2527
2015-03-01,59.8000,9.4231
2015-04-01,58.8300,10.0190
2015-05-01,57.7800,7.8493
2015-06-01,56.0000,7.3043
2015-07-01,60.7100,5.6354
2015-08-01,61.6100,6.1797
2015-09-01,55.0900,13.4072
2015-10-01,50.3500,12.8805
2015-11-01,47.7400,9.0667
2015-12-01,41.5200,7.2640
2016-01-01,44.7000,11.4946
2016-02-01,52.6100,5.7894
2016-03-01,52.8600,12.6936
2016-04-01,60.3400,9.0085
2016-05-01,58.1100,6.1830
2016-06-01,59.7100,5.9595
2016-07-01,61.2400,7.1999
2016-08-01,59.3800,5.4655
2016-09-01,54.3500,4.7555
2016-10-01,50.1400,6.6959
2016-11-01,42.0700,7.8730
2016-12-01,47.3900,3.1229
2017-01-01,47.1400,3.3878
2017-02-01,51.4300,5.7850
2017-03-01,57.5800,7.2942
2017-04-01,57.2100,6.1065
2017-05-01,53.0200,3.4164
2017-06-01,56.6900,4.5211
2017-07-01,55.5000,5.1481
2017-08-01,55.5200,7.1120
2017-09-01,50.3400,8.0942
2017-10-01,49.4100,4.2038
2017-11-01,43.9300,2.5021
2017-12-01,38.7900,2.3271
2018-01-01,38.3200,3.4890
2018-02-01,45.8600,2.8619
2018-03-01,51.6200,2.8126
2018-04-01,52.9000,2.6022
2018-05-01,55.4500,3.7127
2018-06-01,56.5000,4.9596
2018-07-01,56.0900,2.4209
2018-08-01,57.7500,3.9548
2018-09-01,56.6200,2.3732
2018-10-01,48.7000,5.9761
2018-11-01,41.0000,7.4982
2018-12-01,39.1300,3.6282
2019-01-01,40.4600,3.8618
2019-02-01,48.3100,4.3946
2019-03-01,52.4200,3.4508
2019-04-01,52.2500,4.7225
2019-05-01,52.6500,4.9173
2019-06-01,56.5200,6.2640
2019-07-01,58.7300,4.3183
2019-08-01,60.0100,2.2740
2019-09-01,55.2400,5.7586
2019-10-01,50.2500,6.9021
2019-11-01,45.0800,2.8890
2019-12-01,38.4100,3.7646
2020-01-01,40.2000,5.1258
2020-02-01,47.1800,2.8274
2020-03-01,52.4900,3.3072
2020-04-01,55.1700,1.9896
2020-05-01,56.0500,2.8612
2020-06-01,58.8000,4.9484
2020-07-01,58.2600,4.2047
2020-08-01,56.7300,4.8566
2020-09-01,52.8400,8.3764
2020-10-01,51.8900,3.5255
2020-11-01,43.4800,3.3846
