Lon	I-H-1127	I-H-1138	I-P-1140	O-H-1124	O-P-1128	O-H-1136
281.88	39.44	35.297	37.209	91.55	50.627	66.484
282.04	39.688	34.424	36.27	92.083	48.039	66.171
282.21	39.07	29.828	36.795	88.586	49.289	66.289
282.38	47.475	42.387	41.552	93.321	52.09	69.958
282.54	49.501	41.271	40.985	91.853	53.699	73.82
282.71	51.959	43.619	43.311	92.223	59.168	73.784
282.88	45.463	35.958	40.595	90.057	53.617	68.859
283.04	45.379	40.335	38.049	89.291	53.511	70.016
283.21	45.749	40.068	35.035	85.903	53.552	70.376
283.38	46.505	42.428	32.714	87.296	52.659	69.912
283.55	38.011	30.615	25.407	80.275	47.264	64.483
283.71	39.843	36.777	31.414	85.689	52.678	70.502
283.88	35.601	35.194	30.645	87.139	49.865	73.062
284.05	43.939	42.236	31.907	94.357	55.412	78.071
284.21	48.094	43.248	34.83	97.83	56.072	80.369
284.38	51.259	47.49	40.853	104.49	59.875	82.446
284.55	52.254	46.441	40.705	104.408	59.529	84.485
284.72	55.18	48.29	45.125	109.334	61.466	84.74
284.88	78.473	65.495	63.275	127.594	81.001	101.561
285.05	86.248	71.314	68.369	134.116	85.237	103.984
285.22	86.866	71.471	70.569	133.394	87.503	105.514
285.38	85.326	71.139	73.732	133.194	87.523	106.578
285.55	82.517	67.693	69.825	126.979	86.451	104.99
285.72	82.018	71.26	76.183	131.644	88.699	109.117
285.88	74.756	65.031	66.152	122.866	83.13	101.624
286.05	47.6	41.37	38.952	95.6	54.721	74.875
286.22	43.775	38.665	33.237	88.72	50.962	71.611
286.38	41.236	37.598	32.631	84.313	51.917	68.774
286.55	42.014	35.19	29.541	84.234	53.332	66.069
286.72	45.381	39.194	33.436	88.941	55.051	68.655
286.89	48.019	35.392	31.194	85.667	53.447	64.601
287.05	50.908	38.172	37.337	92.007	59.348	67.062
287.22	50.141	32.415	33.536	91.745	59.393	68.262
287.39	51.713	34.142	36.472	99.098	62.526	67.384
287.55	54.322	35.234	37.718	104.146	60.586	70.948
287.72	51.41	36.432	39.334	103.015	59.147	73.806
287.89	49.448	30.8	36.492	99.097	54.965	68.976
288.05	46.053	34.108	33.8	101.394	56.866	69.108
288.22	50.39	37.412	33.786	103.379	56.962	74.577
288.39	51.477	40.719	36.763	103.829	59.038	75.016
288.55	52.831	34.314	35.215	97.732	57.512	73.413
288.72	50.154	31.483	34.56	93.758	56.483	68.725
288.89	46.292	24.259	29.117	90.051	50.49	63.798
289.05	43.18	27.675	25.873	89.51	53.246	65.049
289.22	41.355	23.41	22.641	82.168	47.267	64.619
289.39	39.005	22.401	20.247	77.775	42.214	61.577
289.56	37.593	23.516	20.681	81	42.538	61.033
289.72	34.049	26.455	19.246	83.016	42.796	61.191
289.89	34.524	25.282	15.677	80.216	41.227	59.502
290.06	36.367	33.389	20.203	81.51	45.247	59.115
290.22	35.04	31.425	19.886	79.985	42.227	59.754
290.39	39.4	35.367	27.499	83.927	46.037	61.004
290.56	36.372	32.845	27.196	82.944	47.735	59.064
290.72	38.789	33.35	30.229	82.789	49.251	60.657
290.89	40.513	31.14	30.458	79.612	45.458	63.338
291.06	43.504	37.581	39.295	84.515	52.427	73.504
291.22	46.943	34.229	35.174	83.756	53.382	74.69
291.39	51.374	39.693	36.088	89.22	54.935	72.979
291.56	47.648	35.109	31.439	88.241	53.56	70.296
291.72	51.964	42.217	37.03	97.063	56.36	79.019
291.89	50.955	40.439	32.725	91.9	55.065	75.23
292.06	54.511	47.049	40.236	92.752	61.851	75.456
292.22	49.616	41.561	30.418	86.078	55.704	68.264
292.39	48.928	45.818	37.158	89.939	55.785	72.202
292.56	49.767	39.954	39.581	86.493	55.328	72.943
292.72	51.714	42.494	40.165	87.406	55.406	74.374
292.89	49.973	34.094	36.929	82.786	53.292	68.226
293.06	52.983	40.071	42.533	91.093	52.236	70.72
293.22	46.875	33.106	35.238	90.458	46.062	66.754
293.39	45.502	35.535	36.238	92.403	44.491	66.93
293.56	45.546	34.107	35.491	90.975	44.777	67.667
293.72	44.62	35.796	37.29	90.862	44.972	70.62
293.89	38.101	31.277	36.573	90.211	41.507	67.782
294.06	44.528	43.309	43.616	96.66	46.858	72.55
