Lon	I-H-1127	I-H-1138	I-P-1140	O-H-1124	O-P-1128	O-H-1136
399.6	5821.409	4508.871	4450.475	10239.146	5675.409	8264.586
399.76	5850.127	4524.38	4467.985	10289.732	5701.38	8297.182
399.92	5876.546	4540.887	4477.7	10322.723	5726.986	8317.129
400.09	5923.914	4580.496	4516.98	10408.309	5774.903	8385.957
400.25	5951.229	4600.889	4536.955	10465.625	5812.658	8432.998
400.41	6011.701	4653.25	4579.492	10565.987	5869.503	8513.129
400.57	6059.824	4691.901	4613.901	10646.22	5918.659	8578.253
400.74	6110.151	4729.634	4658.645	10737.316	5984.348	8663.931
400.9	6169.359	4777.963	4707.963	10848.37	6035.095	8747.26
401.06	6257.066	4843.451	4778.44	10994.78	6121.549	8866.055
401.22	6312.209	4883.188	4819.693	11097.946	6184.451	8942.462
401.39	6384.549	4939.769	4878.45	11220.681	6254.044	9041.626
401.55	6408.436	4955.941	4906.82	11261.732	6286.392	9080.359
401.71	6424.027	4964.741	4921.093	11297.17	6305.653	9100.18
401.87	6426.136	4971.575	4927.246	11305.015	6315.344	9110.279
402.04	6425.357	4978.203	4925.983	11296.257	6321.708	9103.621
402.2	6370.986	4939.019	4882.734	11200.899	6268.063	9024.888
402.36	6330.456	4911.609	4850.159	11126.28	6226.544	8969.642
402.52	6294.732	4878.546	4816.634	11052.997	6186.139	8906.963
402.69	6291.216	4880.106	4813.601	11062.337	6180.667	8906.447
402.85	6286.545	4878.226	4804.358	11049.776	6167.929	8896.842
403.01	6299.81	4887.69	4818.942	11068.689	6176.162	8906.118
403.17	6336.918	4908.511	4844.401	11138.039	6218.346	8959.786
403.34	6350.757	4916.086	4859.295	11165.086	6243.636	8986.514
403.5	6357.072	4916.226	4865.611	11160.875	6248.04	8981.259
403.66	6361.03	4922.272	4876.382	11161.206	6254.832	8978.855
403.82	6314.7	4885.459	4842.667	11064.041	6211.689	8907.019
403.98	6311.138	4882.138	4847.501	11059.71	6219.622	8900.875
404.15	6275.455	4851.576	4810.719	10999.126	6184.357	8854.939
404.31	6233.609	4820.565	4788.082	10923.719	6144.862	8802.598
404.47	6262.127	4842.16	4811.501	10976.435	6165.402	8840.644
404.63	6283.902	4862.11	4835.825	11027.814	6201.22	8885.33
404.8	6275.995	4852.863	4827.347	11033.028	6196.852	8886.116
404.96	6325.06	4887.093	4864.587	11113.895	6245.324	8955.851
405.12	6281.159	4850.511	4830.621	11040.522	6198.544	8896.862
405.28	6277.914	4848.958	4828.694	11014.222	6188.508	8876.574
405.45	6238.916	4821.806	4797.52	10948.564	6152.169	8823.454
405.61	6195.886	4789.172	4763.985	10872.502	6110.919	8767.249
405.77	6155.659	4755.648	4723.933	10791.505	6061.835	8703.318
405.93	6137.098	4748.45	4716.054	10761.142	6043.472	8683.318
406.09	6125.766	4746.15	4708.282	10751.897	6036.117	8677.952
406.26	6164.917	4778.554	4737.851	10805.884	6072.521	8723.971
406.42	6161.741	4779.049	4742.412	10819.478	6080.576	8729.84
406.58	6216.009	4813.69	4779.492	10900.624	6123.086	8797.701
406.74	6205.246	4810.861	4775.542	10889.575	6119.949	8780.861
406.91	6220.867	4822.416	4794.68	10927.373	6141.307	8802.911
407.07	6289.717	4869.047	4843.574	11040.596	6211.278	8884.673
407.23	6321.081	4892.784	4876.212	11088.553	6248.465	8919.564
407.39	6388.529	4937.705	4920.496	11206.969	6319.936	9012.101
407.55	6455.786	4990.786	4971.973	11331.083	6392.05	9108.731
407.72	6511.931	5048.799	5024.162	11460.656	6469.711	9202.491
407.88	6618.495	5131.253	5107.385	11656.341	6577.879	9362.297
408.04	6728.123	5221.43	5192.134	11847.617	6689.859	9517.408
408.2	6798.385	5277.912	5246.484	11959.66	6755.044	9617.396
408.37	6869.728	5329.63	5293.959	12090.849	6820.696	9716.86
408.53	6893.461	5355.274	5330.79	12130.384	6849.461	9755.768
408.69	6869.041	5335.272	5314.107	12088.404	6824.184	9721.404
408.85	6803.27	5278.885	5265.962	11960.456	6759.621	9621.402
409.01	6693.303	5189.204	5176.786	11743.214	6648.665	9453.797
409.18	6562.921	5084.647	5079.46	11508.416	6515.713	9268.218
409.34	6395.818	4961.786	4950.599	11227.049	6364.588	9038.467
409.5	6242.199	4842.606	4833.99	10957.583	6217.672	8814.88
409.66	6154.652	4770.553	4756.773	10798.322	6124.256	8685.389
409.82	6144.057	4761.386	4743.936	10770.255	6111.661	8663.419
409.99	6186.04	4784.623	4773.436	10835.337	6142.897	8718.184
410.15	6310.752	4877.796	4880.389	11064.378	6270.84	8888.752
410.31	6414.953	4960.788	4959.667	11247.283	6382.623	9037.821
410.47	6602.612	5106.315	5114.843	11576.942	6571.139	9313.183
410.63	6785.781	5246.649	5253.001	11903.122	6751.737	9576.561
410.8	6939.723	5367.866	5369.844	12178.14	6903.195	9792.492
410.96	7060.93	5468.04	5473.864	12394.138	7031.237	9965.117
411.12	7184.744	5566.25	5564.008	12607.953	7154.195	10136.547
411.28	7238.375	5610.715	5596.891	12694.089	7202.968	10207.748
411.45	7315.331	5672.485	5655.782	12840.781	7282.716	10309.771
411.61	7329.477	5683.136	5661.18	12862.246	7294.334	10316.477
411.77	7346.206	5695.711	5672.722	12869.019	7313.81	10338.272
411.93	7324.417	5680.494	5667.065	12852.351	7308.483	10325.571
412.09	7341.925	5689.584	5674.947	12886.979	7324.298	10346.87
412.26	7299.233	5658.035	5652.474	12813.672	7281.54	10278.848
412.42	7267.898	5634.854	5629.359	12755.854	7259.722	10231.392
412.58	7248.677	5618.6	5617.303	12720.655	7233.27	10212.776
412.74	7279.964	5637.118	5636.107	12763.085	7261.547	10249.305
412.9	7288.147	5642.069	5646.531	12783.993	7269.267	10252.509
413.06	7324.697	5679.609	5673.412	12846.587	7307.73	10292.807
413.23	7332.274	5686.065	5683.494	12860.384	7320.384	10308.416
413.39	7371.181	5709.61	5709.038	12924.324	7369.643	10354.851
413.55	7401.068	5732.881	5738.442	12975.288	7391.2	10401.475
413.71	7412.57	5744.097	5747.701	12978.987	7409.932	10404.108
413.87	7369.677	5711.028	5719.226	12911.94	7374.446	10343.226
414.04	7311.196	5671.69	5679.339	12812.118	7325.481	10263.35
414.2	7297.454	5656.828	5668.19	12756.641	7304.509	10237.949
414.36	7272.401	5645.247	5649.291	12701.412	7278.291	10195.105
414.52	7281.647	5658.383	5660.779	12708.306	7288.394	10216.954
414.68	7288.593	5663.812	5670.054	12713.076	7304.417	10220.219
414.85	7262.756	5646.525	5650.152	12657.591	7274.383	10176.482
415.01	7308.225	5681.906	5685.159	12707.17	7309.851	10224.73
415.17	7383.651	5734.277	5741.244	12828.596	7377.607	10320.805
415.33	7422.298	5763.98	5782.793	12902.386	7423.177	10369.573
415.49	7473.768	5791.999	5825.735	12983.637	7473.79	10427.449
415.66	7500.251	5820.35	5853.185	13026.933	7499.416	10462.515
415.82	7524.501	5834.293	5865.655	13053.227	7518.897	10485.963
415.98	7574.023	5872.32	5914.737	13143.21	7577.671	10555.275
416.14	7569.156	5874.463	5917.475	13145.706	7579.815	10549.914
416.3	7493.943	5828.196	5866.482	13007.394	7512.844	10442.932
416.46	7388.497	5750.552	5784.244	12827.947	7412.87	10292.376
416.63	7316.211	5702.2	5728.002	12687.112	7346.145	10187.925
416.79	7207.256	5613.443	5639.311	12504.465	7244.553	10024.014
416.95	7119.832	5555.403	5572.766	12353.063	7162.865	9896.865
417.11	7060.011	5506.638	5520.77	12246.1	7105.923	9813.165
417.27	7033.812	5485.955	5498.482	12192.053	7078.163	9760.735
417.44	7027.935	5471.792	5492.122	12169.715	7066.683	9744.738
417.6	7026.421	5469.861	5488.718	12149.586	7068.003	9729.168
417.76	6998.216	5451.875	5477.04	12105.667	7046.634	9697.831
417.92	7025.19	5479.486	5502.783	12131.299	7074.596	9729.827
418.08	7065.636	5503.163	5544.68	12194.845	7123.064	9785.91
418.24	7079.631	5515.334	5559.993	12209.828	7131.499	9787.565
418.41	7061.027	5502.686	5555.368	12188.258	7127.862	9769.609
418.57	7093.692	5532.209	5589.791	12249.648	7168.901	9805.363
418.73	7106.928	5538.741	5597.445	12261.807	7184.796	9814.016
418.89	7127.917	5550.786	5611.797	12271.17	7204.489	9813.742
419.05	7078.072	5512.435	5576.193	12174.841	7165.479	9731.885
419.21	7038.772	5484.761	5545.509	12091.696	7123.739	9662.75
419.38	7016.449	5463.735	5521.691	12027.372	7104.252	9620.284
419.54	7046.003	5490.937	5548.079	12041.167	7127.497	9641.893
419.7	7055.433	5504.521	5551.84	12039.719	7141.169	9644.763
419.86	7152.913	5588.308	5644.704	12198.495	7251.99	9776.979
420.02	7245.707	5663.894	5717.763	12349.29	7346.345	9902.422
420.18	7396.11	5785.572	5837.572	12604.858	7505.297	10108.176
420.35	7501.968	5865.693	5925.188	12778.166	7616.759	10241.847
420.51	7597.268	5945.015	6012.048	12941.751	7724.081	10376.059
420.67	7623.759	5955.044	6037.22	12987.912	7759.033	10400.737
420.83	7698.882	6017.531	6104.036	13099.41	7837.564	10495.476
420.99	7705.442	6022.398	6105.014	13094.519	7836.321	10495.256
421.15	7685.874	6002.369	6089.314	13043.457	7820.995	10449.149
421.32	7573.629	5906.761	5999.398	12835.628	7700.771	10289.86
421.48	7501.322	5864.498	5949.113	12703.212	7634.509	10178.267
421.64	7403.015	5785.509	5869.531	12512.18	7541.278	10028.344
421.8	7302.572	5710.979	5791.462	12319.978	7438.616	9877.099
421.96	7182.582	5611.845	5703.735	12105.153	7326.384	9703.56
422.12	7102.589	5556.886	5645.457	11964.128	7244.172	9577.732
422.28	7040.952	5510.523	5601.798	11845.457	7186.248	9494.853
422.45	7075.801	5539.549	5635.768	11885.164	7221.472	9526.329
422.61	7126.036	5576.662	5675.542	11954.014	7279.377	9592.992
422.77	7194.18	5643.026	5749.136	12083.015	7358.004	9683.608
422.93	7263.515	5700.207	5800.537	12185.691	7434.042	9783.35
423.09	7319.353	5740.595	5841.298	12260.452	7486.21	9842.892
423.25	7414.032	5808.175	5917.823	12406.318	7596.252	9970.658
423.42	7532.87	5907.475	6016.925	12613.485	7722.628	10116.452
423.58	7587.658	5950.988	6063.933	12698.142	7783.372	10183.845
423.74	7608.714	5962.044	6076.154	12732.011	7796.846	10197.264
423.9	7640.647	5976.329	6093.757	12746.868	7820.538	10217.625
424.06	7713.099	6033.681	6150.604	12857.802	7896.747	10286.879
424.22	7724.934	6048.527	6162.791	12881.879	7914.187	10313.077
424.38	7682.933	6015.823	6132.57	12803.636	7873.395	10241.373
424.55	7637.852	5980.874	6105.247	12712.159	7836.775	10179.533
424.71	7607.658	5967.669	6092.196	12663.834	7819.79	10139.635
424.87	7602.574	5972.058	6104.563	12632.926	7819.827	10135.904
425.03	7623.226	5997.523	6121.699	12662.171	7847.842	10160.655
425.19	7617.901	6002.593	6137.033	12650.011	7856.956	10165.34
425.35	7689.051	6062.557	6203.611	12750.457	7935.952	10241.161
425.51	7765.589	6115.996	6264.589	12863.237	8009.435	10339.006
425.68	7795.099	6144.385	6292.077	12910.791	8040.549	10370.242
425.84	7835.503	6170.701	6322.723	12952.492	8081.767	10414.02
426	7847.712	6182.624	6334.449	12972.767	8101.383	10425.141
426.16	7816.004	6164.256	6320.014	12920.465	8081.96	10380.498
426.32	7769.6	6132.995	6286.666	12847.182	8035.05	10312.039
426.48	7694.788	6067.393	6228.074	12704.656	7954.415	10192.865
426.64	7594.829	5999.895	6153.873	12515.797	7856.28	10038.368
426.81	7553.612	5975.579	6121.711	12435.129	7822.557	9978.282
426.97	7601.582	6014.955	6164.846	12505.01	7874.944	10028.153
427.13	7606.665	6022.127	6171.687	12511.786	7885.456	10024.478
427.29	7627.342	6030.518	6186.606	12533.232	7904.354	10030.837
427.45	7679.336	6062.314	6221.984	12603.754	7962.875	10086.249
427.61	7725.461	6106.615	6252.197	12673.9	8014.604	10139.461
427.77	7745.275	6123.242	6268.67	12712.813	8047.187	10175.967
427.93	7779.349	6145.338	6298.789	12752.536	8076.8	10204.338
428.1	7714.277	6091.277	6246.508	12647.398	8012.014	10104.882
428.26	7706.288	6078.475	6246.915	12614.728	8013.365	10085.256
428.42	7677.193	6059.424	6232.457	12560.072	7983.545	10046.084
428.58	7616.501	6008.336	6178.49	12432.853	7920.985	9945.974
428.74	7503.449	5919.043	6102.977	12247.867	7814.988	9799.9
428.9	7391.688	5827.127	6022.336	12054.852	7698.721	9645.688
429.06	7210.788	5679.613	5872.865	11753.579	7512.92	9407.458
429.22	7067.872	5567.355	5757.245	11481.849	7361.454	9202.003
429.39	6820.404	5370.107	5553.119	11064.69	7105.701	8864.635
429.55	6560.004	5165.158	5342.169	10622.202	6836.312	8518.223
429.71	6331.112	4993.255	5171.738	10244.848	6594.079	8221.408
429.87	6177.756	4870.47	5043.085	9979.998	6434.723	8008.855
430.03	6102.645	4813.755	4979.887	9833.129	6362.315	7894.348
430.19	6101.454	4817.641	4986.564	9820.663	6366.773	7879.762
430.35	6151.712	4859.701	5034.229	9921.361	6421.668	7960.471
430.51	6380.942	5049.304	5223.019	10301.249	6661.689	8266.634
430.68	6789.907	5368.797	5559.94	10971.819	7090.325	8792.38
430.84	7193.668	5693.767	5895.349	11646.283	7532.745	9330.525
431	7687.671	6084.627	6301.22	12460.923	8048.527	9974.671
431.16	8110.562	6421.518	6649.914	13165.99	8489.024	10535.331
431.32	8383.559	6629.482	6877.328	13618.043	8771.493	10903.878
431.48	8658.162	6845.294	7110.217	14052.844	9058.602	11258.228
431.64	8827.518	6971.243	7240.98	14317.123	9226.046	11463.968
431.8	8807.746	6956.548	7219.097	14270.779	9204.976	11436.383
431.96	8842.405	6966.877	7242.767	14307.526	9228.009	11461.536
432.13	8820.952	6953.534	7234.37	14259.194	9211.106	11442.469
432.29	8823.557	6954.404	7240.799	14256.854	9221.294	11444.36
432.45	8922.567	7037.48	7316.644	14414.831	9339.579	11568.304
432.61	8916.915	7039.278	7304.706	14415.267	9347.443	11550.64
432.77	8936.466	7058.719	7335.598	14451.147	9387.279	11577.587
432.93	8908.244	7042.519	7319.42	14411.65	9367.65	11538.277
433.09	8796.336	6967.776	7231.204	14231.721	9254.358	11392.227
433.25	8620.714	6831.692	7088.769	13953.835	9075.11	11154.791
433.41	8490.261	6733.041	6982.975	13736.854	8940.459	10975.953
433.58	8445.016	6697.884	6950.829	13649.609	8882.225	10911.664
433.74	8430.688	6689.381	6946.04	13609.458	8864.27	10887.106
433.9	8426.848	6680.771	6935.166	13591.616	8848.584	10873.188
434.06	8540.974	6775.359	7027.622	13766.425	8969.194	11027.589
434.22	8698.838	6894.431	7160.431	14016.97	9138.684	11237.838
434.38	8895.792	7052.506	7314.221	14344.495	9346.869	11491.462
434.54	9021.683	7149.585	7418.441	14557.002	9483.771	11649.87
434.7	9108.002	7216.672	7493.2	14700.749	9579.518	11755.233
434.86	9259.218	7326.767	7607.844	14951.02	9736.822	11951.668
435.02	9441.309	7473.584	7771.034	15256.781	9939.946	12197.155
435.19	9575.309	7568.441	7883.144	15472.034	10071.77	12354.617
435.35	9727.829	7687.357	8001.774	15709.632	10228.664	12542.972
435.51	9895.345	7818.763	8144.895	15955.895	10401.345	12753.686
435.67	10099.793	7981.21	8323.496	16291.529	10613.155	13023.375
435.83	10192.554	8046.037	8397.883	16433.981	10703.696	13125.751
435.99	10228.693	8077.583	8435.341	16497.265	10747.682	13168.979
436.15	10145.848	8013.046	8352.98	16347.013	10647.892	13051.617
436.31	10172.863	8038.764	8375.335	16391.105	10685.478	13086.687
436.47	10132.928	8007.335	8355.576	16323.852	10644.071	13030.961
436.63	10118.084	7989.787	8344.644	16294.875	10634.919	13007.381
436.79	10005.828	7898.476	8245.751	16085.498	10509.85	12853.882
436.96	9961.963	7877.799	8209.447	16009.831	10479.194	12801.942
437.12	9879.132	7811.736	8150.352	15861.307	10398.143	12690.176
437.28	9819.698	7771.797	8112.544	15762.994	10351.17	12612.775
437.44	9669.53	7655.145	7989.936	15518.563	10194.739	12426.904
437.6	9524.822	7542.811	7874.899	15296.119	10055.635	12242.646
437.76	9277.596	7350.157	7672.86	14891.069	9789.75	11918.266
437.92	9171.603	7274.603	7577.944	14721.406	9685.23	11776.373
438.08	9059	7182.242	7488.681	14533.791	9564.956	11636.241
438.24	9106.088	7221.527	7515.637	14609.297	9603.714	11688.923
438.4	9168.097	7266.855	7569.471	14710.756	9665.438	11768.196
438.56	9252.879	7333.55	7644.758	14842.989	9765.363	11865.869
438.73	9421.101	7472.826	7772.804	15115.804	9934.794	12086.079
438.89	9618.158	7632.895	7934.477	15449.982	10159.521	12349.961
439.05	9710.371	7704.25	8012.141	15602.833	10263.316	12473.855
439.21	9862.968	7816.737	8138.451	15857.869	10427.891	12664.44
439.37	9881.203	7834.423	8156.598	15898.588	10455.203	12698.972
439.53	9918.05	7860.215	8177.929	15947.325	10496.643	12747.742
439.69	9963.555	7898.357	8219.302	16032.587	10544.851	12813.104
439.85	10028.743	7946.776	8273.106	16121.358	10610.765	12889.732
440.01	10071.681	7975.582	8312.571	16188.538	10652.713	12937.889
440.17	10227.558	8098.118	8447.7	16432.568	10811.514	13139.052
440.33	10330.911	8184.967	8540.637	16591.902	10922.231	13283.275
440.49	10446.294	8279.272	8643.272	16772.624	11049.854	13431.503
440.65	10568.265	8374.584	8750.43	16979.759	11176.639	13583.617
440.82	10814.801	8568.966	8947.34	17370.801	11429.439	13908.406
440.98	10846.23	8591.933	8975.471	17412.888	11463.086	13949.889
441.14	10953.71	8675.391	9058.995	17573.533	11565.314	14084.589
441.3	11004.669	8710.813	9101.912	17660.208	11619.373	14146.087
441.46	11022.064	8727.394	9106.427	17685.626	11634.547	14157.031
441.62	11095.556	8778.842	9164.447	17798.568	11706.128	14248.271
441.78	11183.686	8855.829	9239.565	17935.247	11794.851	14368.939
441.94	11131.387	8804.871	9200.497	17851.805	11740.639	14284.497
442.1	11150.499	8820.223	9220.136	17903.684	11770.059	14312.894
442.26	11105.242	8779.164	9184.725	17832.078	11726.187	14258.088
442.42	11066.065	8754.12	9152.054	17775.295	11688.922	14209.164
442.58	11078.606	8757.321	9166.97	17804.519	11706.849	14233.519
442.74	11036.041	8728.711	9136.228	17731.952	11663.293	14185.645
442.9	10962.602	8657.493	9068.02	17603.371	11588.251	14079.097
443.06	10879.318	8606.362	9006.186	17479.099	11514.088	13993.538
443.22	10911.196	8621.559	9015.867	17509.768	11543.746	14032.394
443.39	11018.313	8710.544	9103.247	17685.302	11659.544	14167.302
443.55	11099.691	8762.626	9169.197	17807.669	11742.351	14269.637
443.71	11085.565	8750.323	9143.335	17774.884	11719.499	14240.444
443.87	11088.577	8752.697	9133.554	17777.874	11722.621	14241.818
444.03	11143.63	8800.299	9182.805	17875.321	11780.245	14306.552
444.19	11172.213	8813.565	9203.697	17905.509	11800.279	14331.785
444.35	11105.277	8769.903	9158.958	17805.717	11729.76	14237.827
444.51	11018.082	8698.907	9085.17	17669.182	11641.225	14129.126
444.67	10925.301	8624.476	9013.576	17507.102	11541.872	14000.752
444.83	10892.714	8620.747	9012.681	17465.352	11516.78	13964.813
444.99	10787.4	8534.488	8934.664	17304.896	11415.488	13819.906
445.15	10698.128	8463.963	8862.227	17157.271	11327.424	13707.765
445.31	10650.915	8422.706	8819.321	17071.09	11278.256	13637.53
445.47	10659.065	8429.296	8824.482	17080.889	11279.702	13634.549
445.63	10613.113	8400.86	8790.223	17000.322	11228.585	13564.783
445.79	10669.718	8450.323	8829.334	17100.818	11294.488	13635.751
445.95	10752.652	8491.828	8879.872	17217.311	11377.136	13736.279
446.11	10901.632	8608.654	9007.841	17452.599	11534.313	13935.225
446.28	11024.277	8707.497	9111.892	17652.937	11665.816	14101.222
446.44	11134.944	8792.603	9195.35	17852.811	11783.668	14247.306
446.6	11323.315	8935.062	9352.425	18150.611	11986.48	14495.777
446.76	11426.337	9011.908	9438.611	18321.876	12099.589	14640.105
446.92	11427.909	9019.173	9454.689	18340.481	12112.832	14655.975
447.08	11463.384	9050.363	9477.242	18404.77	12152.901	14699.264
447.24	11480.957	9058.594	9488.264	18431.814	12162.539	14719.66
447.4	11521.326	9088.436	9521.512	18496.865	12206.754	14767.886
447.56	11463.513	9047.172	9477.458	18391.688	12148.963	14691.358
447.72	11304.381	8933.821	9360.744	18158.205	12000.842	14499.821
447.88	11346.156	8972.849	9396.278	18221.014	12052.75	14556.42
448.04	11427.772	9031.189	9452.31	18340.453	12133.025	14656.749
448.2	11440.368	9041.829	9476.906	18367.138	12147.005	14679.73
448.36	11479.249	9068.292	9500.271	18421.777	12192.458	14718.512
448.52	11403.822	9011.701	9440.184	18295.645	12123.558	14628.019
448.68	11450.947	9038.233	9474.079	18358.793	12167.892	14680.76
448.84	11570.104	9124.444	9568.62	18530.983	12279.027	14826.917
449	11659.208	9188.692	9640.098	18665.823	12367.186	14930.34
449.16	11723.145	9242.145	9705.75	18771.936	12439.014	15012.31
449.32	11796.184	9298.722	9765.382	18879.502	12510.008	15097.513
449.48	11908.438	9390.955	9865.68	19053.712	12641.669	15242.658
449.64	12006.614	9469.197	9946.273	19215.822	12746.285	15368.955
449.8	12148.215	9584.798	10068.314	19448.699	12892.611	15544.896
449.96	12256.098	9673.274	10160.197	19620.033	13010.757	15680.9
450.12	12274.942	9694.822	10178.162	19661.448	13030.898	15714.921
450.28	12279.244	9694.178	10171.519	19660.321	13037.376	15721.146
450.44	12282.677	9698.864	10179.128	19668.304	13052.04	15726.128
450.6	12225.899	9653.976	10136.46	19587.019	12975.46	15653.69
450.77	12221.968	9650.901	10131.297	19573.616	12961.352	15630.78
450.93	12144.382	9588.02	10060.833	19442.338	12883.042	15534.591
451.09	12036.009	9503.184	9960.239	19280.669	12785.591	15394.492
451.25	11951.87	9427.068	9885.639	19141.43	12695.716	15272.584
451.41	11881.746	9365.669	9825.098	19020.955	12600.251	15161.329
451.57	11742.435	9263.083	9705.303	18800.567	12454.018	14986.402
451.73	11642.09	9188.431	9611.552	18631.409	12351.101	14851.211
451.89	11582.939	9134.269	9559.522	18520.851	12292.763	14772.577
452.05	11489.191	9067.62	9494.961	18367.388	12202.114	14652.729
452.21	11397.293	8983.435	9418.007	18197.754	12092.128	14527.194
452.37	11317.943	8928.152	9356.768	18068.185	12016.317	14434.317
452.53	11272.185	8896.57	9330.878	17995.68	11985.394	14390.087
452.69	11349.773	8956.157	9405.432	18105.992	12073.289	14479.465
452.85	11343.03	8942.447	9400.711	18096.459	12076.767	14476.184
453.01	11362.926	8966.365	9421.31	18130.838	12092.376	14506.552
453.17	11417.939	9014.104	9465.158	18218.004	12147.675	14574.433
453.33	11478.013	9076.705	9530.683	18334.495	12223.507	14662.606
453.49	11568.704	9127.902	9591.748	18452.681	12302.176	14749.77
453.65	11697.05	9221.94	9686.775	18644.963	12436.347	14900.369
453.81	11686.384	9210.109	9660.944	18619.638	12417.132	14879.934
453.97	11792.673	9293.432	9754.003	18770.123	12522.827	15003.464
454.13	11828.019	9316.359	9783.283	18825.315	12573.447	15044.601
454.29	11822.327	9316.14	9783.789	18820.481	12575.294	15033.954
454.45	11897.025	9369.453	9840.244	18921.575	12656.652	15123.673
454.61	11940.085	9420.843	9899.656	19006.107	12724.392	15191.096
454.77	11896.742	9396.863	9874.6	18946.391	12697.6	15144.974
454.93	11965.782	9448.166	9932.65	19055.936	12776.507	15232.661
455.09	12013.429	9497.593	9973.44	19152.922	12836.703	15304.737
455.25	12119.918	9578.259	10058.655	19321.588	12937.194	15427.062
455.41	12230.894	9646.663	10150.246	19493.554	13058.477	15569.938
455.57	12294.882	9694.937	10196.739	19596.86	13118.486	15639.651
455.73	12294.516	9687.34	10185.735	19598.977	13115.725	15638.439
455.89	12335.542	9717.751	10217.619	19653.695	13150.18	15687.213
456.05	12508.602	9852.811	10362.46	19913.855	13330.91	15891.866
456.21	12568.849	9891.893	10414.882	19996.453	13377.86	15950.761
456.37	12590.402	9909.732	10433.358	20018.819	13400.797	15985.402
456.53	12709.353	10014.111	10530.243	20201.353	13521.089	16131.485
456.69	12749.884	10040.95	10571.038	20276.368	13566.785	16188.664
456.85	12743.593	10040.44	10574.417	20258.935	13553.308	16175.747
457.01	12803.33	10076.506	10612.792	20341.198	13609.242	16219.824
457.17	12678.593	9972.802	10509.022	20143.693	13481.626	16071.934
457.33	12662.476	9961.058	10488.861	20121.84	13477.663	16048.905
457.49	12625.994	9942.225	10469.609	20083.138	13447.005	16012.565
457.65	12456.57	9797.658	10323.131	19809.031	13263.625	15802.208
457.81	12419.523	9769.908	10290.479	19733.809	13221.017	15744.38
457.97	12515.892	9843.617	10361.969	19874.286	13332.265	15870.365
458.13	12531.825	9858.605	10377.374	19890.901	13348.352	15903.934
458.29	12565.138	9890.842	10410.204	19949.644	13381.907	15951.831
458.45	12700.54	9995.803	10525.078	20163.704	13525.067	16128.605
458.61	12776.169	10050.751	10591.476	20279.576	13615.663	16218.201
458.77	12876.683	10140.65	10678.057	20442.309	13731.409	16330.332
458.93	12843.539	10114.605	10649.792	20376.484	13689.012	16282.847
459.09	12786.776	10068.502	10609.688	20286.469	13625.326	16202.711
459.25	12680.607	10000.903	10524.661	20146.035	13522.607	16067.607
459.41	12693.225	10008.313	10534.423	20151.774	13528.082	16070.697
459.57	12655.959	9989.619	10515.179	20080.596	13490.795	16017.948
459.73	12642.215	9971.765	10493.435	20055.182	13466.303	15996.435
459.89	12738.081	10041.674	10579.147	20207.641	13569.443	16122.311
460.05	12920.039	10193.237	10735.566	20511.952	13782.369	16371.05
460.21	13138.673	10368.904	10923.3	20869.553	14025.684	16649.146
460.37	13344.527	10510.208	11098.648	21165.846	14242.197	16903.758
460.53	13451.741	10602.147	11197.642	21350.488	14376.026	17048.543
460.69	13507.263	10638.044	11244.285	21447.878	14456.802	17136.12
460.85	13634.643	10749.226	11351.138	21639.457	14597.435	17296.193
461.01	13735.531	10834.311	11430.311	21782.256	14703.487	17421.795
461.17	13734.914	10828.574	11423.497	21755.727	14689.398	17414.749
461.33	13712.689	10812.26	11405.403	21710.227	14661.568	17384.887
461.49	13842.228	10921.69	11499.119	21901.372	14785.987	17533.624
461.65	13943.469	11011.787	11586.821	22060.568	14881.798	17646.128
461.81	14009.204	11069.941	11638.534	22158.412	14941.754	17717.918
461.96	14065.193	11102.171	11694.83	22262.643	15009.149	17785.128
462.12	14089.354	11113.432	11716.794	22315.267	15034.432	17821.322
462.28	14235.038	11218.082	11834.214	22551.74	15199.082	17980.949
462.44	14314.474	11279.386	11896.903	22685.837	15295.068	18090.397
462.6	14310.707	11285.971	11911.728	22709.477	15309.608	18107.213
462.76	14348.113	11291.003	11930.937	22743.3	15355.168	18152.432
462.92	14337.276	11290.166	11926.474	22718.594	15344.573	18139.145
463.08	14367.885	11316.929	11946.006	22737.886	15377.138	18168.907
463.24	14378.36	11327.074	11952.041	22729.701	15390.316	18162.162
463.4	14332.627	11298.506	11920.242	22650.628	15350.011	18119.186
463.56	14280.022	11261.616	11874.759	22552.77	15287.495	18028.22
463.72	14293.621	11264.775	11876.489	22560.544	15302.962	18046.819
463.88	14275.303	11259.446	11864.941	22544.667	15287.523	18032.643
464.04	14403.643	11332.379	11960.05	22729.379	15409.203	18176.094
464.2	14415.089	11354.836	11978.792	22758.782	15421.199	18191.023
464.36	14395.77	11341.693	11974.067	22731.397	15397.419	18167.167
464.52	14422.484	11364.913	11995.901	22776.374	15417.693	18191.34
464.68	14525.636	11428.701	12075.933	22934.317	15521.306	18325.075
464.84	14612.495	11507.32	12167.408	23084.321	15625.991	18443.639
465	14764.946	11620.276	12290.408	23306.024	15776.309	18619.552
465.16	14842.297	11692.637	12364.417	23424.188	15853.505	18719.418
465.32	14942.039	11760.094	12439.896	23561.093	15952.303	18843.544
465.48	15090.453	11871.738	12551.211	23789.442	16113.661	19018.124
