Lon	I-H-1043	I-H-1048	I-P-1116	O-H-1040	O-H-1046	O-P-1113	I-H-1114
283.21	36.936	31.98	72.585	96.629	98.321	82.464	73.112
283.38	38.263	29.241	71.835	95.252	98.637	83.846	74.483
283.55	36.538	27.714	73.066	91.747	92.956	76.835	69.593
283.71	39.821	28.337	76.073	96.81	101.425	83.777	71.381
283.88	39.843	26.315	77.733	98.612	100.656	84.623	67.491
284.05	43.214	29.269	80.83	104.247	103.324	91.258	73.852
284.21	42.446	29.841	86.622	105.391	105.237	94.435	72.907
284.38	42.71	35.402	87.446	107.127	109.545	100.468	82.534
284.55	44.54	35.891	87.792	107.089	109.573	94.902	82.21
284.72	45.092	34.268	82.663	107.883	112.411	98.191	88.257
284.88	54.187	47.385	99.594	116.209	120.275	108.462	106.143
285.05	55.501	48.325	101.468	118.995	121.281	110.05	113.742
285.22	54.229	47.91	102.273	116.119	120.668	109.734	111.899
285.38	55.326	50.743	101.82	117.985	119.567	110.227	114.578
285.55	52.869	47.693	101.352	117.309	117.155	105.781	108.429
285.72	52.853	52.754	104.183	118.765	117.403	108.853	110.436
285.88	49.108	49.382	101.987	114.294	112.47	102.195	99.174
286.05	34.392	31.216	77.194	100.611	98.062	85.864	75.403
286.22	34.039	29.171	77.863	99.578	98.105	82.204	68.764
286.38	32.686	28.28	76.368	99.214	97.412	81.697	67.851
286.55	30.915	25.3	77.025	97.376	96.827	78.596	66.607
286.72	32.304	23.018	78.095	97.732	98.172	84.084	70.282
286.89	30.238	16.711	75.909	95.909	96.678	83.854	67.953
287.05	29.875	20.985	78.304	98.821	96.579	87.282	73.304
287.22	32.273	21.426	77.328	96.492	92.47	81.756	72.36
287.39	31.647	22.669	74.933	94.395	89.779	84.966	75.559
287.55	31.223	25.036	78.124	95.575	90.41	85.058	76.937
287.72	32.224	26.982	77.18	96.246	88.773	85.674	73.454
287.89	32.899	28.031	75.668	94.569	91.822	76.009	71.624
288.05	30.602	27.471	76.921	94.756	93.35	81.591	74.119
288.22	35.291	30.159	79.203	95.335	97.115	82.533	76.874
288.39	35.236	29.906	79.664	99.697	103.302	88.95	80.686
288.55	33.38	28.82	82.04	100.985	105.666	87.831	74.963
288.72	34.703	27.176	78.297	99.165	103.033	84.813	70.527
288.89	32.161	22.765	74.358	98.886	103.567	80.589	69.699
289.05	31.51	19.807	73.741	101.202	100.851	86.411	70.939
289.22	31.795	22.003	73.069	98.696	100.344	80.619	64.058
289.39	31.291	16.775	72.027	98.434	98.786	80.917	62.896
289.56	31.11	20.044	75.066	96.121	99.263	76.989	59.769
289.72	33.016	22.499	73.972	94.532	96.378	79.126	64.84
289.89	33.403	20.227	74.018	94.721	97.6	78.051	65.007
290.06	35.73	22.884	70.752	92.543	98.345	79.203	68.565
290.22	36.908	23.513	70.667	88.117	97.546	74.04	64.908
290.39	37.356	24.114	69.828	93.642	97.554	79.51	71.686
290.56	34.416	22.559	65.845	92.35	94.702	74.713	66.68
290.72	34.24	24.163	67.284	95.361	92.196	77.58	70.504
