Lon	O-H-1153	O-P-1159	I-P-1205	I-H-1158	I-H-1204
279.7	36.212	15.674	-4.14	5.959	7.542
279.87	37.899	18.976	-1.65	7.844	8.635
280.04	39.17	21.444	2.51	9.269	8.433
280.2	39.549	15.088	2.198	10.418	11.912
280.37	56.661	27.024	13.452	22.233	19.288
280.54	53.795	27.399	12.267	21.41	21.498
280.71	58.232	31.936	14.452	19.892	22.749
280.87	62.591	32.723	17.24	22.47	22.382
281.04	63.424	33.743	15.996	18.754	20.556
281.21	61.95	32.654	18.049	19.324	22.489
281.37	61.598	38.247	19.401	18.291	22.73
281.54	50.003	31.608	11.025	7.333	14.454
281.71	52.683	32.056	14.705	10.298	16.584
281.88	50.319	27.176	13.231	13.407	18.11
282.04	49.743	24.017	10.27	13.38	16.545
282.21	46.652	20.96	9.608	15.454	18.575
282.38	52.035	24.991	10.716	17.694	22.53
282.54	53.304	23.04	11.381	19.029	21.71
282.71	54.498	23.674	10.454	20.377	24.157
282.88	51.463	21.903	7.694	17.233	18.243
283.04	53.192	24.17	10.95	14.588	15.687
283.21	51.266	24.475	14.178	16.068	15.145
283.38	52.208	27.23	12.033	14.307	13.077
283.55	48.758	21.791	5.297	10.791	9.385
283.71	54.557	30.766	8.755	13.095	15.733
283.88	52.634	26.634	9.216	13.304	15.634
284.05	56.588	31.742	12.764	16.049	20.445
284.21	59.237	31.171	13.402	18.501	25.446
284.38	63.248	35.105	16.259	19.281	29.655
284.55	63.792	36.034	18.573	21.606	31.1
284.72	65.411	41.312	21.015	24.301	30.587
284.88	82.1	53.726	39.781	43.429	49.847
285.05	85.709	62.753	43.16	44.907	53.171
285.22	88.998	61.723	45.449	46.943	56.438
285.38	91.117	65.084	45.842	47.282	57.26
285.55	87.638	60.803	40.924	45.451	54.946
285.72	88.732	62.436	43.194	47.271	58.392
285.88	81.811	52.47	38.569	41.163	52.767
286.05	58.359	28.721	13.655	14.787	23.227
286.22	56.984	23.028	11.193	13.259	19.808
286.38	55.466	23.807	4.126	10.313	17.126
286.55	50.431	19.464	5.08	9.607	13.475
286.72	53.897	22.677	8.666	10.677	13.886
286.89	54.37	23.095	9.238	8.931	10.645
287.05	58.106	27.897	7.645	9.7	13.26
287.22	53.415	26.8	5.822	9.163	14.833
287.39	54.34	28.219	7.439	8.614	16.614
287.55	54.476	25.399	10.751	11.762	18.179
