Lon	O-P-1210	O-H-1209	I-P-1220	I-H-1212	I-P-1213	I-H-1219
275.86	25.205	28.018	14.15	8.501	10.281	7.303
276.02	31.925	29.991	21.343	15.057	16.684	14.178
276.19	26.557	34.865	18.404	11.481	13.481	14.415
276.36	33.389	37.96	25.444	20.565	16.916	20.037
276.53	34.813	40.571	21.032	20.263	20.109	20.736
276.69	39.656	41.019	24.942	25.469	26.437	27.491
276.86	40.074	43.547	25.195	25.569	28.492	28.591
277.03	43.478	44.664	23.796	26.126	30.434	32.719
277.19	34.078	39.528	18.363	17.55	20.429	25.715
277.36	36.385	36.605	18.198	20.66	17.803	24
277.53	32.361	34.823	11.944	14.339	16.823	18.724
277.7	35.484	32.979	16.33	18.924	19.187	17.781
277.86	27.666	30.524	9.315	11.622	12.743	11.567
278.03	33.686	30.917	14.708	15.367	16.906	16.027
278.2	31.956	30.901	12.857	12.439	17.956	11.329
278.37	39.716	31.804	16.606	22.32	28.211	17.837
278.53	38.473	35.308	18.89	21.769	32.297	17.539
278.7	37.923	36.12	22.065	22.813	31.076	18.153
278.87	34.514	34.25	13.217	13.767	23.547	11.734
279.03	37.525	34.273	15.998	17.404	27.426	13.009
279.2	29.498	32.399	8.553	10.025	14.926	3.465
279.37	33.564	33.037	10.059	9.795	13.883	8.433
279.54	25.153	34.603	9.087	3.438	6.845	3.384
279.7	25.41	30.465	6.52	2.608	2.608	3.882
279.87	25.701	32.734	9.108	3.064	4.8	2.481
280.04	25.642	31.225	13.126	7.28	7.807	6.444
280.2	26.121	30.472	12.077	4.846	6.451	5.275
280.37	35.925	35.09	22.222	16.815	17.343	16.903
280.54	33.949	34.432	24.388	17.861	17.883	12.311
280.71	39.738	33.76	25.639	21.419	22.386	16.232
280.87	39.58	37.69	27.602	23.272	25.712	16.844
281.04	39.084	34.468	24.721	21.776	23.271	19.183
281.21	38.324	39.862	26.478	21.445	22.785	21.566
281.37	37.39	37.038	25.884	24.39	22.236	22.895
281.54	27.74	30.641	12.816	13.058	17.168	12.388
281.71	30.672	30.32	13.056	18.419	18.243	18.155
281.88	30.692	34.429	11.638	16.011	16.649	14.901
282.04	30.369	31.907	9.325	14.644	13.984	13.633
282.21	31.377	33.223	9.113	14.982	15.267	12.201
282.38	39.563	32.134	12.321	22.255	19.661	15.793
282.54	43.523	37.106	16.688	22.952	18.974	16.523
282.71	44.311	35.432	20.586	28.674	17.685	16.234
282.88	40.628	34.474	16.43	22.254	14.408	11.167
283.04	39.225	30.566	16.818	28.599	15.368	11.895
283.21	39.64	32.738	18.431	29.002	15.925	9.343
283.38	41.45	33.142	21.373	27.879	16.274	9.769
283.55	32.736	32.736	17.945	18.758	11.308	2.483
283.71	35.579	37.909	20.117	23.502	17.392	6.667
283.88	34.062	39.953	19.008	19.205	17.777	6.315
284.05	37.038	42.577	26.324	24.566	22.852	11.863
284.21	40.446	48.05	30.138	20.05	25.391	16.215
284.38	43.347	46.82	31.622	21.556	28.589	22.611
284.55	42.672	48.869	28.716	21.089	30.166	22.221
284.72	47.356	49.378	31.191	27.191	31.367	28.466
284.88	63.968	65.506	50.275	45.946	49.792	43.253
285.05	70.819	68.534	57.292	51.05	52.017	50.259
285.22	74.646	72.58	57.877	52.361	55.108	50.635
285.38	74.337	67.875	57.029	55.007	54.304	51.447
285.55	71.528	67.924	55.155	52.583	53.133	48.396
285.72	71.293	66.633	59.392	57.941	53.106	52.227
285.88	61.921	59.679	52.712	51.239	46.075	44.064
286.05	36.48	31.952	25.018	23.567	22.469	19.216
286.22	31.028	30.545	21.775	20.479	20.808	15.325
286.38	27.082	24.269	20.148	18.39	18.126	11.049
286.55	27.508	27.245	19.574	15.772	18.783	9.387
286.72	28.194	26.743	20.82	19.853	18.798	9.26
286.89	29.733	27.755	17.623	16.238	16.656	6.205
287.05	34.249	27.568	19.139	17.513	20.634	9.777
287.22	34.097	29.481	17.415	14.624	17.591	11.317
287.39	38.57	29.955	17.439	13.658	18.186	13.175
287.55	40.652	35.729	20.014	16.256	20.805	17.036
287.72	40.158	31.191	21.399	18.103	19.07	15.553
287.89	39.69	31.69	16.723	12.965	14.349	12.47
288.05	38.097	29.833	17.493	16.042	15.778	13.536
288.22	41.511	38.654	22.104	19.225	18.544	15.786
288.39	43.477	37.016	24.411	23.356	18.917	13.554
288.55	42.062	38.149	21.732	24.655	19.182	12.16
288.72	38.901	33.934	18.165	21.945	13.901	8.934
288.89	36.314	32.051	14.007	14.117	12.776	4.963
289.05	35.136	30.477	18.752	17.433	16.246	7.543
289.22	32.52	30.63	16.366	10.85	16.146	3.894
289.39	29.994	21.555	12.115	11.983	14.401	1.917
289.56	29.461	24.318	15.593	9.505	15.901	5.406
289.72	28.334	20.686	17.796	11.554	14.543	2.939
289.89	28.282	18.348	15.732	9.644	14.633	1.853
