Date,Ozono
20180804,303.03
20180805,271.88
20180806,268.15
20180807,275.91
20180808,286.99
20180809,280.64
20180810,273.53
20180811,278.45
20180812,281.09
20180813,288.57
20180814,288.0
20180815,276.03
20180816,280.64
20180817,280.51
20180818,292.69
20180819,280.19
20180820,280.64
20180821,273.41
20180822,267.81
20180823,279.08
20180824,287.16
20180825,280.64
20180826,279.97
20180827,279.44
20180828,274.93
20180829,276.43
20180830,281.23
20180831,278.07
20180901,270.23
20180902,276.11
20180903,289.38
20180904,271.86
20180905,280.74
20180906,275.54
20180907,274.91
20180908,280.54
20180909,282.25
20180910,270.23
20180911,267.54
20180912,263.43
20180913,265.91
20180914,267.79
20180915,273.51
20180916,265.86
20180917,270.23
20180918,266.72
20180919,272.9
20180920,267.56
20180921,270.23
20180922,256.66
20180923,269.67
20180924,269.07
20180925,264.78
20180926,270.23
20180927,260.69
20180928,266.77
20180929,267.9
20180930,263.35
20181001,264.53
20181002,262.99
20181003,250.07
20181004,262.95
20181005,264.75
20181006,260.56
20181007,267.27
20181008,267.48
20181009,259.15
20181010,254.76
20181011,253.37
20181012,250.07
20181013,254.34
20181014,255.7
20181015,254.1
20181016,241.3
20181017,242.68
20181018,232.93
20181019,250.07
20181020,235.66
20181021,238.28
20181022,238.96
20181023,250.07
20181024,242.59
20181025,246.99
20181026,250.07
20181027,241.85
20181028,250.07
20181029,240.3
20181030,241.11
20181031,241.91
20181101,235.2
20181102,233.54
20181103,233.53
20181104,237.38
20181105,237.23
20181106,238.2
20181107,238.78
20181108,238.31
20181109,237.28
20181110,241.07
20181111,237.38
20181112,233.48
20181113,237.38
20181114,238.78
20181115,248.74
20181116,244.17
20181117,243.64
20181118,236.99
20181119,241.78
20181120,237.38
20181121,238.4
20181122,239.66
20181123,236.76
20181124,237.38
20181125,234.41
20181126,237.42
20181127,237.38
20181128,226.43
20181129,237.38
20181130,228.73
20181201,234.71
20181202,231.88
20181203,233.64
20181204,233.43
20181205,231.66
20181206,227.41
20181207,225.02
20181208,227.18
20181209,228.37
20181210,230.51
20181211,231.26
20181212,220.83
20181213,227.41
20181214,229.39
20181215,227.41
20181216,224.69
20181217,218.89
20181218,222.48
20181219,232.78
20181220,235.16
20181221,231.56
20181222,227.41
20181223,225.75
20181224,225.87
20181225,222.89
20181226,227.41
20181227,211.99
20181228,217.33
20181229,227.41
20181230,230.65
20181231,227.41
20190101,224.81
20190102,214.54
20190103,218.06
20190104,213.63
20190105,213.46
20190106,217.28
20190107,224.34
20190108,213.66
20190109,224.34
20190110,221.54
20190111,225.29
20190112,223.27
20190113,229.98
20190114,224.34
20190115,216.19
20190116,224.34
20190117,215.84
20190118,219.83
20190119,217.53
20190120,223.5
20190121,225.05
20190122,230.94
20190123,224.34
20190124,234.18
20190125,225.45
20190126,232.01
20190127,224.34
20190128,241.8
20190129,244.87
20190130,224.34
20190131,241.53
20190201,237.46
20190202,245.68
20190203,244.72
20190204,242.74
20190205,238.47
20190206,241.82
20190207,235.69
20190208,237.46
20190209,229.27
20190210,236.48
20190211,233.72
20190212,230.01
20190213,237.72
20190214,238.95
20190215,237.46
20190216,249.68
20190217,237.46
20190218,238.3
20190219,234.77
20190220,231.81
20190221,229.55
20190222,237.46
20190223,222.82
20190224,237.46
20190225,227.32
20190226,237.46
20190227,244.21
20190228,237.46
20190301,252.99
20190302,251.82
20190303,247.28
20190304,241.65
20190305,247.28
20190306,246.68
20190307,254.77
20190308,241.96
20190309,241.14
20190310,247.28
20190311,232.71
20190312,247.28
20190313,236.79
20190314,247.28
20190315,235.48
20190316,234.67
20190317,239.04
20190318,247.69
20190319,247.28
20190320,254.47
20190321,247.28
20190322,244.17
20190323,240.48
20190324,247.22
20190325,245.15
20190326,251.5
20190327,251.46
20190328,247.28
20190329,267.14
20190330,265.68
20190331,262.75
20190401,256.54
20190402,258.81
20190403,257.78
20190404,264.48
20190405,248.16
20190406,256.54
20190407,248.01
20190408,259.22
20190409,259.69
20190410,256.96
20190411,251.89
20190412,246.67
20190413,256.54
20190414,251.11
20190415,252.24
20190416,246.96
20190417,256.73
20190418,246.08
20190419,263.38
20190420,268.19
20190421,266.56
20190422,256.54
20190423,256.04
20190424,254.08
20190425,259.82
20190426,262.32
20190427,259.4
20190428,254.71
20190429,256.54
20190430,262.08
20190501,258.65
20190502,271.29
20190503,265.21
20190504,258.35
20190505,271.09
20190506,275.5
20190507,266.47
20190508,265.21
20190509,258.15
20190510,267.98
20190511,260.76
20190512,263.08
20190513,259.94
20190514,262.79
20190515,265.21
20190516,246.75
20190517,251.24
20190518,266.88
20190519,276.41
20190520,268.79
20190521,273.59
20190522,273.57
20190523,269.1
20190524,265.21
20190525,269.72
20190526,273.88
20190527,265.95
20190528,265.44
20190529,264.76
20190530,263.01
20190531,265.21
20190601,257.66
20190602,269.99
20190603,260.68
20190604,272.11
20190605,255.98
20190606,265.78
20190607,272.11
20190608,264.63
20190609,272.11
20190610,270.03
20190611,272.91
20190612,278.42
20190613,279.83
20190614,274.15
20190615,274.95
20190616,272.11
20190617,275.48
20190618,281.14
20190619,267.33
20190620,276.69
20190621,275.62
20190622,270.52
20190623,269.76
20190624,271.74
20190625,272.11
20190626,270.51
20190627,271.8
20190628,268.82
20190629,287.76
20190630,285.62
20190701,277.17
20190702,278.64
20190703,268.56
20190704,290.93
20190705,282.47
20190706,278.64
20190707,282.85
20190708,280.04
20190709,275.14
20190710,278.78
20190711,278.64
20190712,270.7
20190713,285.9
20190714,276.6
